File	Length	n_contigs	N50	n_CDS
7004_8#90.contigs_velvet.fa	2056432	50	99544	1998
6949_3#11.contigs_velvet.fa	2178129	70	60199	2090
27463_3#115.contigs_velvet.fa	2165258	32	276104	2127
27859_1#22.contigs_velvet.fa	2080694	36	104609	2026
7011_5#13.contigs_velvet.fa	2045998	65	68091	1988
6983_3#62.contigs_velvet.fa	2168532	93	48895	2147
27689_3#158.contigs_velvet.fa	2076293	28	119238	2020
27463_3#70.contigs_velvet.fa	2200332	32	160731	2158
28157_2#46.contigs_velvet.fa	2210855	44	153025	2198
27958_1#137.contigs_velvet.fa	2100523	36	211695	2052
28157_3#97.contigs_velvet.fa	2201943	34	110935	2210
27425_7#128.contigs_velvet.fa	2128022	36	118637	2083
6983_3#63.contigs_velvet.fa	2089427	66	55526	2034
5366_8#9.contigs_velvet.fa	1952382	191	22882	1896
28157_1#112.contigs_velvet.fa	2179976	36	160842	2132
28157_1#63.contigs_velvet.fa	2099221	34	220425	2055
6680_6#3.contigs_velvet.fa	2101115	51	65808	2043
6925_4#19.contigs_velvet.fa	2090577	64	58701	2051
6755_6#10.contigs_velvet.fa	2151610	63	76306	2080
27535_1#50.contigs_velvet.fa	2064334	31	142378	2064
6805_3#5.contigs_velvet.fa	2100170	62	70328	2038
6925_3#15.contigs_velvet.fa	2158793	58	64132	2112
7054_4#12.contigs_velvet.fa	2075690	73	56712	2010
27689_4#42.contigs_velvet.fa	2060544	17	200099	2009
6731_3#9.contigs_velvet.fa	1992776	56	64132	1900
7038_4#5.contigs_velvet.fa	2112116	77	58176	2071
28157_3#68.contigs_velvet.fa	2280274	60	94624	2256
6983_8#78.contigs_velvet.fa	2092267	63	66135	2026
27689_3#176.contigs_velvet.fa	2065339	16	440658	2045
27463_4#157.contigs_velvet.fa	2090264	47	81748	2028
27754_1#107.contigs_velvet.fa	2256973	51	106324	2225
28157_3#114.contigs_velvet.fa	2134954	16	570974	2094
7038_6#17.contigs_velvet.fa	2129416	72	55259	2053
6840_1#21.contigs_velvet.fa	2071603	81	73839	1985
6631_7#5.contigs_velvet.fa	2000533	68	53617	1950
7038_5#20.contigs_velvet.fa	2110483	77	101994	2056
27425_7#182.contigs_velvet.fa	2149397	26	249599	2119
27644_5#96.contigs_velvet.fa	2109176	46	160143	2051
28157_1#162.contigs_velvet.fa	2078201	19	584096	2032
27754_1#176.contigs_velvet.fa	2164280	65	470693	2125
6730_7#20.contigs_velvet.fa	2104153	69	57515	2069
6641_6#23.contigs_velvet.fa	1992312	80	44633	1933
7004_5#8.contigs_velvet.fa	2083278	45	122270	2025
6753_2#19.contigs_velvet.fa	2111540	53	60616	2065
7068_4#12.contigs_velvet.fa	2123083	43	114532	2100
27859_1#88.contigs_velvet.fa	2164205	18	247118	2103
27425_7#83.contigs_velvet.fa	3577211	3776	1701	3991
28048_1#93.contigs_velvet.fa	2141503	31	123019	2129
27689_3#125.contigs_velvet.fa	2080866	32	118552	2025
27463_3#171.contigs_velvet.fa	2137024	66	242100	2087
28157_2#111.contigs_velvet.fa	2146035	32	141251	2133
6736_5#23.contigs_velvet.fa	2134532	52	64070	2064
27644_5#60.contigs_velvet.fa	2139455	34	119593	2096
28049_1#89.contigs_velvet.fa	2138140	38	122135	2128
6938_5#21.contigs_velvet.fa	2173210	62	79096	2149
6938_5#13.contigs_velvet.fa	2155900	94	38873	2104
27644_5#40.contigs_velvet.fa	2394097	282	628019	2351
28049_1#71.contigs_velvet.fa	2118612	25	156307	2074
6949_4#24.contigs_velvet.fa	2053499	69	55516	1979
28049_1#92.contigs_velvet.fa	2060840	26	159009	2043
6630_2#17.contigs_velvet.fa	2081036	72	60835	2028
28157_2#120.contigs_velvet.fa	2133164	28	233035	2135
6805_7#12.contigs_velvet.fa	2115730	69	62022	2085
6755_6#13.contigs_velvet.fa	2142718	54	83047	2061
27644_5#95.contigs_velvet.fa	2673085	456	205930	2647
6805_4#5.contigs_velvet.fa	2088842	105	34887	2009
28157_2#184.contigs_velvet.fa	2068463	31	168903	2008
6731_2#22.contigs_velvet.fa	2043398	53	67999	1983
27630_2#81.contigs_velvet.fa	2161043	29	159500	2101
6938_6#1.contigs_velvet.fa	2061105	67	65854	1999
27630_2#170.contigs_velvet.fa	2112677	33	154792	2077
27630_2#101.contigs_velvet.fa	2095428	23	462212	2079
27689_3#78.contigs_velvet.fa	2248800	38	103669	2197
28042_1#15.contigs_velvet.fa	2112877	18	301661	2072
7038_6#7.contigs_velvet.fa	2036225	142	29165	1951
27689_3#120.contigs_velvet.fa	2124963	11	628139	2082
28042_1#46.contigs_velvet.fa	2199852	50	220027	2176
27754_1#63.contigs_velvet.fa	2262948	40	138304	2236
6949_1#7.contigs_velvet.fa	2073928	80	70489	1998
6925_8#10.contigs_velvet.fa	2112301	50	70872	2062
6630_4#8.contigs_velvet.fa	2167016	96	46986	2152
7011_3#11.contigs_velvet.fa	2083164	76	53812	2012
6823_5#20.contigs_velvet.fa	2147131	59	62142	2130
28157_3#100.contigs_velvet.fa	2173938	22	297618	2133
27689_2#34.contigs_velvet.fa	2110060	26	250402	2070
6755_1#6.contigs_velvet.fa	2110885	70	73518	2069
27689_2#155.contigs_velvet.fa	2106794	27	234487	2067
27689_3#163.contigs_velvet.fa	2127938	29	156554	2090
28157_3#72.contigs_velvet.fa	2094572	23	315048	2024
5429_8#3.contigs_velvet.fa	2224954	86	48268	2159
6755_6#4.contigs_velvet.fa	2115076	56	93492	2098
27859_1#6.contigs_velvet.fa	3146652	422	72186	3302
27463_4#14.contigs_velvet.fa	5970177	11194	732	6920
27535_1#93.contigs_velvet.fa	3007503	1180	23614	3528
27754_1#108.contigs_velvet.fa	2134425	26	313741	2084
27689_3#110.contigs_velvet.fa	2076646	30	124467	2019
6805_3#7.contigs_velvet.fa	2064479	64	58738	2025
27644_5#100.contigs_velvet.fa	2077005	30	126499	2017
6972_2#21.contigs_velvet.fa	2099333	55	62983	2035
7004_6#34.contigs_velvet.fa	2055931	72	50667	2012
27425_7#52.contigs_velvet.fa	2191824	131	160085	2155
27689_1#24.contigs_velvet.fa	2109269	25	234811	2059
6710_7#11.contigs_velvet.fa	2180382	45	92907	2116
6731_2#2.contigs_velvet.fa	2172606	97	53707	2093
7038_7#18.contigs_velvet.fa	2051806	61	61645	1984
28048_1#72.contigs_velvet.fa	2209052	20	338395	2167
27644_5#98.contigs_velvet.fa	2076850	27	141677	2022
27536_3#129.contigs_velvet.fa	2098720	52	117258	2055
7011_4#22.contigs_velvet.fa	2033499	74	48818	1951
6972_5#4.contigs_velvet.fa	2116870	44	109162	2066
27535_1#176.contigs_velvet.fa	2111572	19	300309	2069
6983_6#47.contigs_velvet.fa	2125829	42	99307	2089
6755_5#16.contigs_velvet.fa	2157975	55	78120	2104
28157_1#80.contigs_velvet.fa	2134169	35	151181	2090
6972_4#21.contigs_velvet.fa	2014464	48	79479	1945
6807_2#7.contigs_velvet.fa	2087618	71	52322	2024
6730_6#20.contigs_velvet.fa	2160252	79	55449	2106
27535_1#119.contigs_velvet.fa	2063317	27	278715	2029
6259_6#14.contigs_velvet.fa	1993616	61	67524	1924
27958_1#118.contigs_velvet.fa	2065584	39	106349	2008
7004_7#54.contigs_velvet.fa	2114820	53	76097	2087
27536_3#42.contigs_velvet.fa	2078282	39	73917	2025
6925_8#6.contigs_velvet.fa	2157221	67	74133	2103
28157_1#141.contigs_velvet.fa	2107212	31	217297	2062
27644_5#128.contigs_velvet.fa	2195862	37	180568	2178
5366_8#2.contigs_velvet.fa	2019118	96	35166	1946
6731_4#5.contigs_velvet.fa	2052301	101	36748	1977
27859_1#29.contigs_velvet.fa	2219731	20	630905	2206
27463_3#26.contigs_velvet.fa	2037722	13	563347	1981
28157_2#182.contigs_velvet.fa	2104970	38	279311	2051
28048_1#113.contigs_velvet.fa	2178411	22	190545	2178
7004_8#88.contigs_velvet.fa	2036897	48	129105	1994
28157_3#109.contigs_velvet.fa	2112677	35	112749	2059
6949_1#6.contigs_velvet.fa	1987534	47	71178	1925
28354_1#37.contigs_velvet.fa	2131731	21	206041	2070
6736_5#16.contigs_velvet.fa	2080596	53	88276	2028
6949_1#20.contigs_velvet.fa	2048032	51	72226	1996
6925_4#5.contigs_velvet.fa	2074541	74	60630	1997
28157_2#50.contigs_velvet.fa	2148184	26	164975	2137
27689_4#192.contigs_velvet.fa	2111233	32	168956	2086
7004_6#36.contigs_velvet.fa	2080996	51	85382	2073
27958_1#61.contigs_velvet.fa	2143566	29	135845	2134
6731_4#6.contigs_velvet.fa	2122746	63	59453	2071
6631_2#7.contigs_velvet.fa	2111934	48	83259	2033
6899_4#18.contigs_velvet.fa	2111864	67	54285	2080
27425_7#162.contigs_velvet.fa	2125950	9	628581	2083
5381_1#1.contigs_velvet.fa	2034686	127	33510	1962
28157_1#181.contigs_velvet.fa	2150698	32	217372	2123
7011_6#1.contigs_velvet.fa	2082484	59	63886	2025
6736_7#1.contigs_velvet.fa	2131059	60	80076	2058
6983_6#35.contigs_velvet.fa	2093993	54	101586	2033
6753_4#22.contigs_velvet.fa	2062824	67	53511	1991
6925_3#16.contigs_velvet.fa	2045150	56	73422	1970
7004_7#62.contigs_velvet.fa	2155538	66	70542	2148
27689_4#41.contigs_velvet.fa	2137923	32	241991	2102
6841_7#24.contigs_velvet.fa	2097778	61	57845	2036
28354_1#129.contigs_velvet.fa	2193314	32	186582	2180
28157_3#139.contigs_velvet.fa	2094220	37	218436	2049
6983_6#32.contigs_velvet.fa	2111804	66	53713	2065
6714_7#14.contigs_velvet.fa	2089235	130	45962	2039
6983_5#15.contigs_velvet.fa	2042948	58	64670	1975
27958_1#65.contigs_velvet.fa	2118037	28	181147	2064
27535_1#5.contigs_velvet.fa	3165764	534	112220	3323
27754_1#117.contigs_velvet.fa	2148359	24	467070	2110
6840_1#4.contigs_velvet.fa	2085389	42	87674	2032
6983_4#96.contigs_velvet.fa	2105250	51	93816	2087
27859_1#124.contigs_velvet.fa	2416538	270	256532	2451
28157_1#119.contigs_velvet.fa	2169669	27	241076	2139
6631_6#9.contigs_velvet.fa	2154269	71	56964	2102
27859_1#51.contigs_velvet.fa	2077060	29	113850	2020
28157_3#86.contigs_velvet.fa	2119219	30	131843	2082
7011_6#17.contigs_velvet.fa	2121662	67	60199	2074
27644_5#33.contigs_velvet.fa	2154107	24	206335	2072
6807_2#14.contigs_velvet.fa	2091661	59	55526	2024
27859_1#173.contigs_velvet.fa	2125379	32	105680	2088
7004_5#20.contigs_velvet.fa	2096106	81	41268	2056
6680_7#9.contigs_velvet.fa	2057327	64	63118	1982
27689_1#73.contigs_velvet.fa	2217686	127	93944	2192
27754_1#120.contigs_velvet.fa	2168509	199	155927	2104
6823_6#12.contigs_velvet.fa	2043499	60	63831	1961
27536_3#31.contigs_velvet.fa	2056783	28	124827	2024
27754_1#97.contigs_velvet.fa	3602946	3549	1813	4001
27425_7#43.contigs_velvet.fa	4864549	8530	778	5606
7054_6#3.contigs_velvet.fa	2014438	42	85849	1989
6840_1#15.contigs_velvet.fa	2095113	57	69991	2025
7004_5#11.contigs_velvet.fa	2049000	69	64104	1971
27630_2#58.contigs_velvet.fa	2167801	25	339027	2102
7054_4#20.contigs_velvet.fa	2126483	59	75094	2072
7054_6#4.contigs_velvet.fa	2080596	84	48697	2004
6871_2#13.contigs_velvet.fa	2056971	68	59684	1974
5392_7#12.contigs_velvet.fa	2044573	113	33985	1990
6714_8#2.contigs_velvet.fa	2065438	110	45210	2026
27754_1#49.contigs_velvet.fa	4152591	9034	544	4972
6938_8#23.contigs_velvet.fa	2165061	83	54966	2092
6983_5#9.contigs_velvet.fa	2174733	76	57132	2153
6840_1#16.contigs_velvet.fa	2104499	65	59115	2041
27535_1#141.contigs_velvet.fa	2114357	33	103895	2070
27689_1#68.contigs_velvet.fa	3777285	4528	1507	4174
6972_2#5.contigs_velvet.fa	2143931	81	44561	2087
28157_3#10.contigs_velvet.fa	2033702	29	174949	1986
6259_8#3.contigs_velvet.fa	2051635	74	52585	2017
28048_1#125.contigs_velvet.fa	2046373	16	282011	1995
28354_1#65.contigs_velvet.fa	3388157	5278	964	3892
28157_2#176.contigs_velvet.fa	2095965	19	222872	2074
7092_6#21.contigs_velvet.fa	2079538	42	99303	2035
6899_5#13.contigs_velvet.fa	2124588	69	62558	2123
27535_1#65.contigs_velvet.fa	2072222	17	582000	2013
6753_4#10.contigs_velvet.fa	2185630	113	37027	2127
6938_5#5.contigs_velvet.fa	2087261	55	79445	2040
27689_4#86.contigs_velvet.fa	2101863	29	118413	2049
6983_2#14.contigs_velvet.fa	2095120	61	59968	2032
6710_6#22.contigs_velvet.fa	2081421	47	85271	2022
27754_1#187.contigs_velvet.fa	2185968	22	289353	2180
27689_4#21.contigs_velvet.fa	2127748	13	389673	2085
7038_4#13.contigs_velvet.fa	2099392	47	91635	2043
27859_1#119.contigs_velvet.fa	2057764	23	208809	2022
6983_8#73.contigs_velvet.fa	2185597	47	94816	2091
5429_8#10.contigs_velvet.fa	2033282	52	74268	1965
27463_3#67.contigs_velvet.fa	2191094	35	130237	2169
7054_4#14.contigs_velvet.fa	2154464	74	61993	2101
27689_3#149.contigs_velvet.fa	2103833	28	113818	2051
6925_8#20.contigs_velvet.fa	2081706	41	117812	2026
7038_4#21.contigs_velvet.fa	2175846	63	67898	2112
6925_5#5.contigs_velvet.fa	2109983	42	94119	2061
6730_1#3.contigs_velvet.fa	2134327	52	103456	2102
28157_1#163.contigs_velvet.fa	2262579	45	90568	2240
6805_6#3.contigs_velvet.fa	2103980	57	73405	2052
7011_5#10.contigs_velvet.fa	2059784	50	79965	1983
7038_5#18.contigs_velvet.fa	2095124	52	68605	2055
6736_5#20.contigs_velvet.fa	2127916	46	120196	2126
28157_2#142.contigs_velvet.fa	2119505	29	142940	2079
27689_1#83.contigs_velvet.fa	2193825	66	118381	2143
27859_1#76.contigs_velvet.fa	2126711	27	275428	2065
27425_7#174.contigs_velvet.fa	2261526	40	136652	2247
6755_6#2.contigs_velvet.fa	2100745	44	85389	2045
27644_5#170.contigs_velvet.fa	2239751	61	67808	2218
6630_1#8.contigs_velvet.fa	2068685	81	56425	2033
6753_4#17.contigs_velvet.fa	2103008	59	69786	2045
6899_5#11.contigs_velvet.fa	2128569	77	51302	2024
28049_1#183.contigs_velvet.fa	2153794	28	190239	2139
27630_2#36.contigs_velvet.fa	2228717	104	210152	2181
6972_4#24.contigs_velvet.fa	2086655	54	62875	2016
7011_4#18.contigs_velvet.fa	2089271	55	63662	2048
7038_6#10.contigs_velvet.fa	2132643	49	75198	2112
7011_5#9.contigs_velvet.fa	2149775	76	56549	2100
27958_1#181.contigs_velvet.fa	2040225	34	141829	1972
6938_7#4.contigs_velvet.fa	2084252	39	97612	2026
7004_8#82.contigs_velvet.fa	2105178	59	69722	2025
6755_3#2.contigs_velvet.fa	2086536	66	81932	2009
7004_6#43.contigs_velvet.fa	2128075	56	88006	2043
28042_1#147.contigs_velvet.fa	2209789	48	160306	2189
6938_8#14.contigs_velvet.fa	2168560	77	54866	2151
6731_4#14.contigs_velvet.fa	2068056	83	50165	2025
28049_1#82.contigs_velvet.fa	2170546	17	618672	2151
5429_8#8.contigs_velvet.fa	2137218	164	33359	2030
6753_3#21.contigs_velvet.fa	2138657	74	60595	2130
27535_1#124.contigs_velvet.fa	2216794	23	386557	2204
27425_7#150.contigs_velvet.fa	2173444	30	204427	2149
7011_6#5.contigs_velvet.fa	2095647	69	51100	2045
27689_1#171.contigs_velvet.fa	2078490	29	118807	2026
6938_6#17.contigs_velvet.fa	2115524	61	57000	2031
28157_3#175.contigs_velvet.fa	2092484	31	252131	2057
27689_4#163.contigs_velvet.fa	5998013	10331	750	6665
6938_5#6.contigs_velvet.fa	2171668	75	56891	2134
27958_1#64.contigs_velvet.fa	2118471	30	112763	2079
28042_1#110.contigs_velvet.fa	2132021	20	288040	2090
6805_5#23.contigs_velvet.fa	2075377	56	71403	2024
27754_1#161.contigs_velvet.fa	2074519	31	126105	2022
6736_8#6.contigs_velvet.fa	2104453	70	56876	2066
27859_1#163.contigs_velvet.fa	2048600	28	131998	2011
6753_4#7.contigs_velvet.fa	2031034	69	57943	1954
6972_4#23.contigs_velvet.fa	2049248	57	67666	1981
28042_1#132.contigs_velvet.fa	2185632	17	289279	2182
6949_3#24.contigs_velvet.fa	2056518	45	71948	1990
27958_1#111.contigs_velvet.fa	2097903	34	487611	2057
6755_2#5.contigs_velvet.fa	2107203	69	52589	2002
7011_3#20.contigs_velvet.fa	2189574	64	77819	2181
6755_2#4.contigs_velvet.fa	2108466	66	61820	2066
27425_7#173.contigs_velvet.fa	3465595	3140	1866	3773
27689_3#188.contigs_velvet.fa	2217527	64	134993	2152
27463_4#61.contigs_velvet.fa	2146161	32	121043	2124
6755_4#2.contigs_velvet.fa	2163795	103	51777	2070
6972_4#16.contigs_velvet.fa	2041307	75	51563	1973
28042_1#43.contigs_velvet.fa	2149836	53	157216	2113
7011_6#6.contigs_velvet.fa	2154510	74	54840	2087
27689_1#3.contigs_velvet.fa	3526041	5124	1122	4049
6938_7#10.contigs_velvet.fa	2161615	51	70951	2115
27644_5#86.contigs_velvet.fa	2200131	42	116511	2181
27689_2#168.contigs_velvet.fa	2123784	31	119186	2081
6753_1#16.contigs_velvet.fa	2067108	64	73562	2025
27425_7#151.contigs_velvet.fa	2173090	28	217862	2144
27425_7#130.contigs_velvet.fa	2125205	35	108604	2084
28354_1#97.contigs_velvet.fa	4366471	8926	527	5001
28157_1#40.contigs_velvet.fa	2251321	233	118590	2220
6938_5#24.contigs_velvet.fa	1998704	56	61330	1933
6949_2#16.contigs_velvet.fa	2034746	89	48587	1957
7004_7#67.contigs_velvet.fa	2129109	53	63468	2083
27425_7#95.contigs_velvet.fa	2148358	28	215679	2103
27859_1#178.contigs_velvet.fa	2169278	18	467356	2144
27463_3#119.contigs_velvet.fa	2603338	1113	42076	2750
7004_7#72.contigs_velvet.fa	2171332	91	73398	2137
27754_1#154.contigs_velvet.fa	2180064	20	630913	2153
27859_1#175.contigs_velvet.fa	2110294	17	301706	2069
27958_1#165.contigs_velvet.fa	2095512	14	351981	2051
6983_7#58.contigs_velvet.fa	2108489	58	75040	2032
27958_1#103.contigs_velvet.fa	2120962	32	112744	2071
6925_7#8.contigs_velvet.fa	2149668	49	82713	2109
28354_1#119.contigs_velvet.fa	2254988	33	138233	2228
7004_6#27.contigs_velvet.fa	2076448	49	75079	1990
27689_3#141.contigs_velvet.fa	2141347	36	129852	2103
5366_6#10.contigs_velvet.fa	2051160	230	20629	1993
6983_2#10.contigs_velvet.fa	2042014	66	68506	1965
6925_7#10.contigs_velvet.fa	2090806	53	64267	2017
7092_6#20.contigs_velvet.fa	2033809	70	63020	1970
28048_1#186.contigs_velvet.fa	2187492	19	263722	2185
6983_6#34.contigs_velvet.fa	2099736	50	75175	2050
27425_7#190.contigs_velvet.fa	2068732	29	126075	2027
7011_3#4.contigs_velvet.fa	2189889	85	47109	2140
6983_6#38.contigs_velvet.fa	2126791	46	89132	2080
28049_1#155.contigs_velvet.fa	2108328	34	112745	2057
27958_1#184.contigs_velvet.fa	2076599	33	118584	2031
6972_3#14.contigs_velvet.fa	2174931	53	88260	2155
28157_2#53.contigs_velvet.fa	2588821	495	116328	2630
27644_5#189.contigs_velvet.fa	2166005	32	250429	2146
7038_5#23.contigs_velvet.fa	2110565	79	53044	2072
7054_4#21.contigs_velvet.fa	2099663	58	84637	2088
6925_8#14.contigs_velvet.fa	2066941	65	63610	2028
6755_5#22.contigs_velvet.fa	2172895	70	58843	2127
6938_6#24.contigs_velvet.fa	2087911	59	62163	2015
27535_1#29.contigs_velvet.fa	2221105	19	1117453	2208
6983_6#40.contigs_velvet.fa	2104226	77	53994	2069
28157_1#77.contigs_velvet.fa	2235787	228	88836	2203
6736_8#13.contigs_velvet.fa	2039097	69	52077	1969
27958_1#173.contigs_velvet.fa	2076209	30	126062	2022
28049_1#96.contigs_velvet.fa	2191613	111	128916	2149
28048_1#15.contigs_velvet.fa	2234102	30	316950	2233
6823_1#11.contigs_velvet.fa	2103335	66	63783	2072
27754_1#177.contigs_velvet.fa	2135049	34	145174	2046
6731_2#17.contigs_velvet.fa	2069658	93	42772	1986
27463_3#102.contigs_velvet.fa	2209522	31	273341	2221
7054_4#6.contigs_velvet.fa	2165167	136	56601	2043
7038_7#21.contigs_velvet.fa	2137152	62	65941	2097
27644_5#114.contigs_velvet.fa	2076700	29	141716	2022
6925_3#4.contigs_velvet.fa	2056947	61	63025	1970
27536_3#26.contigs_velvet.fa	2130149	29	185683	2133
6730_4#13.contigs_velvet.fa	2070887	60	56645	2042
27958_1#28.contigs_velvet.fa	2116840	27	117488	2074
27535_1#164.contigs_velvet.fa	2047640	27	131998	2012
6983_5#3.contigs_velvet.fa	2066157	81	46367	1988
27425_7#123.contigs_velvet.fa	2254817	41	150917	2222
28157_3#130.contigs_velvet.fa	2114206	33	107415	2066
6593_4#23.contigs_velvet.fa	2123074	54	67485	2081
28354_1#111.contigs_velvet.fa	2132548	19	510419	2085
27754_1#44.contigs_velvet.fa	2169030	16	480297	2144
28354_1#60.contigs_velvet.fa	2070670	21	336308	2007
28157_2#101.contigs_velvet.fa	2096427	42	242186	2053
28157_1#11.contigs_velvet.fa	2142640	26	217428	2121
6710_7#7.contigs_velvet.fa	2035834	68	53866	1940
28049_1#112.contigs_velvet.fa	2128868	16	515702	2129
7068_4#8.contigs_velvet.fa	2104640	56	73380	2048
27958_1#98.contigs_velvet.fa	2155878	27	404886	2125
28157_3#18.contigs_velvet.fa	2193925	27	215505	2221
28157_2#83.contigs_velvet.fa	2095813	19	262791	2040
6823_4#22.contigs_velvet.fa	2081469	56	89665	2018
6972_5#18.contigs_velvet.fa	2057242	74	51584	2002
27859_1#90.contigs_velvet.fa	2163054	43	135285	2078
7068_4#13.contigs_velvet.fa	2073454	64	56832	1987
6938_5#17.contigs_velvet.fa	2104965	71	59710	2070
28049_1#186.contigs_velvet.fa	2147099	27	144226	2140
27689_4#76.contigs_velvet.fa	2129833	32	150877	2087
27463_3#34.contigs_velvet.fa	2111421	42	362466	2053
7054_4#9.contigs_velvet.fa	2173219	61	61195	2113
27425_7#139.contigs_velvet.fa	2252354	50	91383	2227
7011_6#3.contigs_velvet.fa	2152696	69	53658	2160
28049_1#150.contigs_velvet.fa	2309183	177	478244	2311
6983_8#86.contigs_velvet.fa	2168778	59	75304	2147
27630_2#128.contigs_velvet.fa	2125346	33	113631	2078
7038_8#41.contigs_velvet.fa	2036610	56	71515	1951
27689_3#72.contigs_velvet.fa	1997411	24	229504	1938
28157_1#67.contigs_velvet.fa	2103546	28	164111	2100
27689_1#7.contigs_velvet.fa	2189076	27	151270	2131
6736_4#5.contigs_velvet.fa	2136737	55	65818	2118
6805_5#19.contigs_velvet.fa	2128160	53	109024	2076
6731_2#13.contigs_velvet.fa	2113695	112	43532	2041
6736_5#7.contigs_velvet.fa	2115563	66	68452	2087
6753_3#15.contigs_velvet.fa	2037177	70	45494	1937
6710_6#3.contigs_velvet.fa	2123738	55	67237	2066
28157_3#115.contigs_velvet.fa	2095914	19	251626	2049
28354_1#50.contigs_velvet.fa	2255530	43	93156	2228
27425_7#27.contigs_velvet.fa	1997894	26	174966	1943
6983_8#95.contigs_velvet.fa	2118507	46	101788	2097
28157_1#157.contigs_velvet.fa	2017050	24	273547	1975
27630_2#25.contigs_velvet.fa	2170227	17	338566	2106
7054_4#4.contigs_velvet.fa	2089180	38	116890	2045
7011_6#24.contigs_velvet.fa	2164345	157	43156	2137
6925_3#11.contigs_velvet.fa	2073941	72	72504	2007
27536_3#142.contigs_velvet.fa	3006027	468	89877	3140
28049_1#131.contigs_velvet.fa	2212764	45	165728	2196
27689_4#185.contigs_velvet.fa	2097101	34	136296	2079
6823_5#18.contigs_velvet.fa	1985090	52	61965	1925
6805_2#14.contigs_velvet.fa	2080384	67	56741	2038
6972_2#8.contigs_velvet.fa	2163189	59	78244	2160
27644_5#104.contigs_velvet.fa	3001669	1520	8863	3451
6710_8#12.contigs_velvet.fa	2153598	67	67114	2100
6949_1#17.contigs_velvet.fa	2110811	79	49393	2033
6938_8#12.contigs_velvet.fa	2137613	65	56658	2080
6755_5#13.contigs_velvet.fa	2058140	26	129832	2001
28354_1#59.contigs_velvet.fa	3230977	1066	73239	4175
6753_3#5.contigs_velvet.fa	2084670	63	56292	2032
28157_3#148.contigs_velvet.fa	2996460	419	67005	3133
6925_6#15.contigs_velvet.fa	2097490	67	55463	2049
28157_3#96.contigs_velvet.fa	2110789	22	351934	2059
6899_4#1.contigs_velvet.fa	2080253	72	55583	2020
6983_5#23.contigs_velvet.fa	2162653	56	81500	2134
28354_1#8.contigs_velvet.fa	2252746	48	99753	2234
6259_5#15.contigs_velvet.fa	2172378	57	63848	2136
28048_1#21.contigs_velvet.fa	2215532	17	618874	2198
6805_7#16.contigs_velvet.fa	2110763	52	75036	2042
5366_7#2.contigs_velvet.fa	2029938	72	52924	1954
6731_6#6.contigs_velvet.fa	2054282	99	44622	1986
6631_2#13.contigs_velvet.fa	2008521	50	86912	1947
27689_1#95.contigs_velvet.fa	2162922	30	587769	2121
27536_3#12.contigs_velvet.fa	2140669	54	86937	2135
28048_1#112.contigs_velvet.fa	2132003	32	176095	2134
7011_3#9.contigs_velvet.fa	2123949	60	63790	2085
28354_1#10.contigs_velvet.fa	2098913	24	149601	2059
27463_4#106.contigs_velvet.fa	2130052	29	108601	2080
6823_7#19.contigs_velvet.fa	2088778	73	52074	2029
28354_1#5.contigs_velvet.fa	2120416	31	194473	2070
7011_4#13.contigs_velvet.fa	2046446	66	59269	1983
28157_3#176.contigs_velvet.fa	2154869	36	159769	2099
6710_7#21.contigs_velvet.fa	2133932	46	87566	2073
27689_3#42.contigs_velvet.fa	2025781	8	1874945	1978
6830_3#5.contigs_velvet.fa	2092249	61	78869	2020
6972_4#10.contigs_velvet.fa	2013647	63	63887	1943
28157_3#95.contigs_velvet.fa	2130169	36	124792	2084
28157_1#175.contigs_velvet.fa	2377295	354	143267	2364
6805_4#15.contigs_velvet.fa	2097930	67	66218	2036
6649_8#5.contigs_velvet.fa	2070024	58	73657	2037
27463_3#58.contigs_velvet.fa	2141429	19	304646	2133
27689_1#16.contigs_velvet.fa	2253882	45	109863	2223
6680_7#18.contigs_velvet.fa	2070420	61	60020	2000
6805_4#16.contigs_velvet.fa	2157477	48	82535	2107
6830_3#6.contigs_velvet.fa	2069236	315	15043	2128
6631_5#24.contigs_velvet.fa	2121762	87	47627	2039
7038_4#19.contigs_velvet.fa	2151830	45	85731	2105
6823_2#24.contigs_velvet.fa	1994729	42	82243	1941
6925_3#3.contigs_velvet.fa	2119681	53	67637	2063
28157_3#71.contigs_velvet.fa	2124641	33	183174	2071
7038_7#17.contigs_velvet.fa	2099881	61	66871	2077
27536_3#65.contigs_velvet.fa	2168112	37	182121	2136
6949_2#24.contigs_velvet.fa	2155245	46	106252	2156
27689_4#127.contigs_velvet.fa	2099036	28	120310	2044
27859_1#45.contigs_velvet.fa	2116301	30	112745	2081
27425_7#167.contigs_velvet.fa	2103918	42	239050	2088
27536_3#146.contigs_velvet.fa	2075427	33	108655	2023
27689_3#32.contigs_velvet.fa	2165014	16	395018	2102
6972_3#13.contigs_velvet.fa	2049056	58	69307	1981
27535_1#153.contigs_velvet.fa	2132586	25	478502	2085
6925_8#9.contigs_velvet.fa	2057224	46	70213	2018
6755_6#7.contigs_velvet.fa	2042684	45	101630	1983
6949_2#17.contigs_velvet.fa	2157225	63	98650	2129
27535_1#57.contigs_velvet.fa	2111125	15	332892	2068
7054_4#18.contigs_velvet.fa	2109031	68	55770	2075
6925_5#16.contigs_velvet.fa	2103107	76	50736	2051
